Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Marseille,Toulouse,3.2,0.3,4,0
Nantes,Monaco,1.4,2.6,1,3
Montpellier,Dijon,1.3,2.0,1,2
Nice,Reims,1.2,0.3,0,1
Saint-Étienne,Guingamp,0.8,1.6,2,1
Lille,Rennes,1.7,0.5,3,1
Angers,Nîmes,2.8,1.5,3,4
Lyon,Amiens,1.4,0.4,2,0
Bordeaux,Strasbourg,0.2,1.5,0,2
Paris S-G,Caen,3.0,0.2,3,0
Reims,Lyon,0.6,1.1,1,0
Guingamp,Paris S-G,1.1,2.6,1,3
Amiens,Montpellier,1.2,0.3,1,2
Rennes,Angers,0.3,0.4,1,0
Monaco,Lille,1.4,0.7,0,0
Caen,Nice,1.4,0.9,1,1
Dijon,Nantes,2.9,0.3,2,0
Strasbourg,Saint-Étienne,0.6,0.4,1,1
Toulouse,Bordeaux,1.2,1.1,2,1
Nîmes,Marseille,1.4,1.2,3,1
Lyon,Strasbourg,1.6,0.5,2,0
Paris S-G,Angers,1.8,1.5,3,1
Amiens,Reims,1.6,0.9,4,1
Nantes,Caen,1.8,0.6,1,1
Nice,Dijon,1.9,1.5,0,4
Toulouse,Nîmes,2.8,0.6,1,0
Montpellier,Saint-Étienne,0.7,0.3,0,0
Lille,Guingamp,2.1,0.7,3,0
Bordeaux,Monaco,2.7,0.8,2,1
Marseille,Rennes,0.9,2.0,2,2
Lyon,Nice,1.9,0.6,0,1
Nîmes,Paris S-G,1.3,2.2,2,4
Strasbourg,Nantes,1.4,1.2,2,3
Dijon,Caen,1.0,1.7,0,2
Reims,Montpellier,1.2,0.8,0,1
Angers,Lille,0.7,1.5,1,0
Guingamp,Toulouse,1.7,1.1,1,2
Saint-Étienne,Amiens,1.2,0.4,0,0
Rennes,Bordeaux,2.3,0.5,2,0
Monaco,Marseille,1.4,1.8,2,3
Nice,Rennes,1.4,1.1,2,1
Paris S-G,Saint-Étienne,2.5,1.0,4,0
Caen,Lyon,1.9,1.6,2,2
Dijon,Angers,1.2,1.4,1,3
Toulouse,Monaco,1.6,0.6,1,1
Montpellier,Strasbourg,0.4,0.5,1,1
Amiens,Lille,1.6,3.0,2,3
Nantes,Reims,0.9,0.5,0,0
Bordeaux,Nîmes,1.2,1.6,3,3
Marseille,Guingamp,2.1,0.2,4,0
Monaco,Nîmes,1.7,0.6,1,1
Lille,Nantes,0.8,1.8,2,1
Angers,Toulouse,0.9,0.4,0,0
Saint-Étienne,Caen,3.5,0.6,2,1
Reims,Dijon,0.9,0.2,0,0
Strasbourg,Amiens,1.3,0.7,3,1
Montpellier,Nice,1.8,0.4,1,0
Rennes,Paris S-G,1.3,1.6,1,3
Guingamp,Bordeaux,1.9,1.1,1,3
Lyon,Marseille,1.9,0.6,4,2
Monaco,Angers,0.6,0.5,0,1
Nantes,Nice,1.0,1.1,1,2
Toulouse,Saint-Étienne,1.5,2.3,2,3
Amiens,Rennes,0.7,2.0,2,1
Bordeaux,Lille,1.0,1.9,1,0
Nîmes,Guingamp,1.0,0.4,0,0
Caen,Montpellier,0.8,2.3,2,2
Marseille,Strasbourg,1.4,0.8,3,2
Dijon,Lyon,1.6,2.5,0,3
Paris S-G,Reims,3.5,0.4,4,1
Saint-Étienne,Monaco,1.6,2.1,2,0
Nice,Paris S-G,0.5,2.6,0,3
Angers,Guingamp,0.5,1.5,0,1
Reims,Bordeaux,0.9,0.3,0,0
Lyon,Nantes,2.2,1.2,1,1
Caen,Amiens,1.5,0.3,1,0
Strasbourg,Dijon,1.0,1.1,3,0
Rennes,Toulouse,2.7,0.3,1,1
Montpellier,Nîmes,2.5,1.0,3,0
Lille,Marseille,2.8,0.5,3,0
Toulouse,Nice,1.0,1.0,1,1
Lille,Saint-Étienne,0.8,1.3,3,1
Amiens,Dijon,0.3,0.5,1,0
Nîmes,Reims,0.9,1.2,0,0
Guingamp,Montpellier,0.8,1.2,1,1
Angers,Strasbourg,2.5,1.3,2,2
Bordeaux,Nantes,1.7,0.6,3,0
Marseille,Caen,1.6,0.7,2,0
Monaco,Rennes,0.4,1.1,1,2
Paris S-G,Lyon,3.6,1.5,5,0
Lyon,Nîmes,1.9,1.4,2,0
Paris S-G,Amiens,2.4,0.7,5,0
Reims,Angers,1.1,1.7,1,1
Nantes,Toulouse,2.5,0.5,4,0
Caen,Guingamp,0.4,0.4,0,0
Dijon,Lille,1.6,2.0,1,2
Strasbourg,Monaco,0.9,1.5,2,1
Montpellier,Bordeaux,1.9,1.0,2,0
Saint-Étienne,Rennes,1.8,1.9,1,1
Nice,Marseille,0.7,0.5,0,1
Nîmes,Saint-Étienne,1.3,0.8,1,1
Angers,Lyon,1.3,1.7,1,2
Toulouse,Montpellier,1.2,1.5,0,3
Monaco,Dijon,1.0,0.6,2,2
Amiens,Nantes,1.2,1.6,1,2
Guingamp,Strasbourg,1.2,1.5,1,1
Lille,Caen,0.6,0.4,1,0
Rennes,Reims,0.6,0.3,0,2
Bordeaux,Nice,2.0,1.1,0,1
Marseille,Paris S-G,0.6,1.5,0,2
Paris S-G,Lille,1.9,1.0,2,1
Lyon,Bordeaux,0.3,1.4,1,1
Dijon,Nîmes,1.8,2.2,0,4
Nice,Amiens,1.2,0.8,1,0
Caen,Rennes,1.7,2.5,1,2
Reims,Monaco,1.1,1.0,1,0
Strasbourg,Toulouse,1.0,1.0,1,1
Nantes,Guingamp,2.5,0.2,5,0
Saint-Étienne,Angers,2.1,1.8,4,3
Montpellier,Marseille,1.2,1.3,3,0
Lille,Strasbourg,1.4,0.2,0,0
Guingamp,Lyon,1.5,1.4,2,4
Toulouse,Amiens,1.7,0.5,0,1
Saint-Étienne,Reims,0.9,0.7,2,0
Nîmes,Nice,1.1,1.3,0,1
Angers,Montpellier,0.8,0.4,1,0
Bordeaux,Caen,1.5,0.5,0,0
Rennes,Nantes,1.8,0.3,1,1
Marseille,Dijon,3.2,0.4,2,0
Monaco,Paris S-G,1.4,3.6,0,4
Lyon,Saint-Étienne,0.9,1.5,1,0
Paris S-G,Toulouse,1.2,0.6,1,0
Nantes,Angers,1.7,0.8,1,1
Dijon,Bordeaux,0.9,0.4,0,0
Caen,Monaco,0.8,0.8,0,1
Strasbourg,Nîmes,0.9,1.0,0,1
Reims,Guingamp,0.9,1.4,2,1
Montpellier,Rennes,2.5,1.5,2,2
Nice,Lille,1.1,0.4,2,0
Amiens,Marseille,1.1,2.1,1,3
Saint-Étienne,Nantes,2.4,0.3,3,0
Lille,Lyon,1.0,2.9,2,2
Angers,Caen,1.4,0.9,1,1
Nîmes,Amiens,1.8,0.9,3,0
Monaco,Montpellier,0.7,1.6,1,2
Guingamp,Nice,0.9,0.6,0,0
Toulouse,Dijon,0.8,1.8,2,2
Rennes,Strasbourg,0.7,3.2,1,4
Marseille,Reims,0.8,0.7,0,0
Bordeaux,Paris S-G,0.9,1.4,2,2
Amiens,Monaco,0.6,1.8,0,2
Nice,Angers,2.6,0.3,0,0
Montpellier,Lille,1.3,1.6,0,1
Dijon,Guingamp,0.4,1.3,2,1
Reims,Toulouse,1.6,1.1,0,1
Bordeaux,Saint-Étienne,2.1,2.0,3,2
Lyon,Rennes,1.4,1.4,0,2
Caen,Nîmes,1.0,3.0,1,2
Nantes,Marseille,1.4,1.3,3,2
Strasbourg,Paris S-G,1.0,2.3,1,1
Rennes,Dijon,2.6,0.5,2,0
Guingamp,Amiens,1.4,1.6,1,2
Strasbourg,Caen,1.1,0.5,2,2
Lille,Reims,1.5,1.3,1,1
Reims,Strasbourg,0.6,0.4,2,1
Nîmes,Lille,1.0,0.6,2,3
Nice,Saint-Étienne,2.4,1.1,1,1
Lyon,Monaco,2.0,0.1,3,0
Caen,Toulouse,1.6,1.3,2,1
Rennes,Nîmes,2.7,0.9,4,0
Montpellier,Lyon,0.9,0.4,1,1
Lille,Toulouse,1.4,1.7,1,2
Paris S-G,Nantes,2.1,0.5,1,0
Reims,Caen,2.0,0.6,2,2
Strasbourg,Nice,1.9,1.6,2,0
Monaco,Guingamp,0.6,1.1,0,2
Saint-Étienne,Dijon,1.9,0.8,3,0
Angers,Marseille,2.0,1.5,1,1
Bordeaux,Amiens,0.5,0.4,1,1
Nantes,Montpellier,1.4,0.8,2,0
Amiens,Angers,1.8,0.3,0,0
Caen,Lille,1.3,2.8,1,3
Lyon,Reims,1.4,1.1,1,1
Amiens,Paris S-G,0.3,2.5,0,3
Guingamp,Saint-Étienne,0.7,0.6,0,1
Nice,Bordeaux,1.4,1.8,1,0
Nantes,Rennes,1.7,0.4,0,1
Toulouse,Strasbourg,1.7,1.4,1,2
Dijon,Montpellier,0.7,1.6,1,1
Marseille,Monaco,1.7,0.9,1,1
Angers,Bordeaux,3.4,0.4,1,2
Toulouse,Lyon,1.0,2.0,2,2
Nîmes,Nantes,0.9,0.6,1,0
Monaco,Nice,1.0,1.3,1,1
Guingamp,Rennes,0.8,1.7,2,1
Saint-Étienne,Marseille,2.1,1.0,2,1
Lille,Amiens,2.2,0.4,2,1
Paris S-G,Guingamp,5.1,0.1,9,0
Reims,Nice,1.3,1.3,1,1
Monaco,Strasbourg,0.9,1.5,1,5
Nîmes,Toulouse,1.0,0.9,0,1
Rennes,Montpellier,0.8,0.5,0,0
Caen,Marseille,0.5,1.0,0,1
Angers,Nantes,0.2,1.2,1,0
Bordeaux,Dijon,1.6,1.2,1,0
Saint-Étienne,Lyon,2.4,2.0,1,2
Nîmes,Angers,1.5,1.7,3,1
Marseille,Lille,1.2,2.0,1,2
Dijon,Monaco,1.6,1.5,2,0
Nice,Nîmes,1.7,0.8,2,0
Guingamp,Reims,0.5,0.6,0,1
Strasbourg,Bordeaux,0.7,0.7,1,0
Montpellier,Caen,1.3,0.4,2,0
Amiens,Lyon,0.7,1.2,0,1
Toulouse,Angers,1.5,1.5,0,0
Paris S-G,Rennes,2.4,1.2,4,1
Nantes,Saint-Étienne,1.7,1.8,1,1
Lille,Nice,2.2,0.6,4,0
Monaco,Toulouse,1.2,0.9,2,1
Rennes,Amiens,1.9,0.8,1,0
Angers,Dijon,1.2,0.4,1,0
Reims,Marseille,0.6,1.2,2,1
Nîmes,Montpellier,0.7,0.9,1,1
Lyon,Paris S-G,3.2,1.2,2,1
Marseille,Bordeaux,1.8,0.2,1,0
Dijon,Marseille,1.2,1.2,1,2
Paris S-G,Bordeaux,2.3,0.6,1,0
Amiens,Caen,0.8,0.4,1,0
Strasbourg,Angers,1.1,0.8,1,2
Nantes,Nîmes,1.9,1.7,2,4
Toulouse,Reims,0.8,1.3,1,1
Montpellier,Monaco,1.8,1.5,2,2
Rennes,Saint-Étienne,2.5,1.5,3,0
Guingamp,Lille,0.5,1.3,0,2
Nice,Lyon,1.5,2.3,1,0
Saint-Étienne,Strasbourg,1.6,0.7,2,1
Caen,Nantes,0.6,1.5,0,1
Nîmes,Dijon,1.2,1.2,2,0
Lyon,Guingamp,1.7,1.6,2,1
Marseille,Amiens,1.2,1.2,2,0
Angers,Nice,2.0,0.6,3,0
Monaco,Nantes,1.3,0.3,1,0
Lille,Montpellier,1.1,0.7,0,0
Bordeaux,Toulouse,0.7,2.3,2,1
Caen,Strasbourg,0.5,0.7,0,0
Reims,Rennes,0.7,0.4,2,0
Saint-Étienne,Paris S-G,0.6,1.5,0,1
Bordeaux,Guingamp,1.1,1.5,0,0
Paris S-G,Montpellier,3.3,1.0,5,1
Dijon,Saint-Étienne,0.5,1.1,0,1
Strasbourg,Lille,0.5,1.1,1,1
Paris S-G,Nîmes,3.9,0.6,3,0
Guingamp,Angers,0.6,0.4,1,0
Amiens,Nice,1.6,0.4,1,0
Toulouse,Caen,1.6,2.1,1,1
Montpellier,Reims,1.8,2.1,2,4
Nantes,Bordeaux,1.8,0.2,1,0
Rennes,Marseille,1.1,0.5,1,1
Monaco,Lyon,0.7,1.4,2,0
Caen,Paris S-G,0.5,4.1,1,2
Reims,Amiens,1.2,2.3,2,2
Angers,Monaco,1.1,1.5,2,2
Nice,Strasbourg,1.4,0.5,1,0
Lille,Dijon,0.8,0.5,1,0
Guingamp,Nantes,1.0,1.0,0,0
Lyon,Toulouse,3.8,0.4,5,1
Marseille,Saint-Étienne,2.5,0.4,2,0
Bordeaux,Montpellier,1.2,1.7,1,2
Strasbourg,Lyon,0.9,3.9,2,2
Monaco,Bordeaux,0.8,1.6,1,1
Dijon,Reims,0.9,3.0,1,1
Amiens,Nîmes,2.3,1.0,2,1
Saint-Étienne,Lille,0.3,1.8,0,1
Montpellier,Angers,1.3,1.5,2,2
Toulouse,Guingamp,1.6,0.5,1,0
Rennes,Caen,2.0,0.3,3,1
Marseille,Nice,0.7,0.4,1,0
Dijon,Paris S-G,0.4,2.4,0,4
Nice,Toulouse,0.7,1.3,1,1
Lille,Monaco,1.8,1.6,0,1
Guingamp,Dijon,1.4,0.5,1,0
Caen,Saint-Étienne,0.1,1.9,0,5
Nîmes,Strasbourg,2.4,0.7,2,2
Angers,Amiens,1.4,0.7,0,0
Lyon,Montpellier,2.7,0.6,3,2
Reims,Nantes,0.7,0.3,1,0
Bordeaux,Rennes,1.7,0.7,1,1
Paris S-G,Marseille,1.3,0.3,3,1
Rennes,Lyon,1.3,1.9,0,1
Marseille,Angers,1.3,2.2,2,2
Amiens,Bordeaux,1.0,0.6,0,0
Monaco,Caen,1.9,0.8,0,1
Dijon,Nice,0.8,0.9,0,1
Nantes,Lille,2.0,2.5,2,3
Toulouse,Paris S-G,1.1,1.5,0,1
Saint-Étienne,Nîmes,2.2,1.5,2,1
Montpellier,Guingamp,2.2,0.5,2,0
Strasbourg,Reims,2.4,1.2,4,0
Bordeaux,Marseille,1.5,1.6,2,0
Lyon,Dijon,3.1,1.0,1,3
Nîmes,Caen,1.1,0.2,2,0
Guingamp,Monaco,0.6,2.1,1,1
Angers,Rennes,1.6,2.2,3,3
Amiens,Saint-Étienne,1.1,2.5,2,2
Reims,Lille,1.0,1.0,1,1
Toulouse,Nantes,2.8,0.8,1,0
Nice,Montpellier,1.7,0.7,1,0
Paris S-G,Strasbourg,3.4,0.6,2,2
Nîmes,Rennes,1.7,0.6,3,1
Dijon,Amiens,1.4,0.2,0,0
Nantes,Lyon,1.0,1.3,2,1
Marseille,Nîmes,1.0,1.1,2,1
Caen,Angers,0.7,2.0,0,1
Monaco,Reims,1.9,0.7,0,0
Strasbourg,Guingamp,1.7,1.9,3,3
Rennes,Nice,1.4,0.5,0,0
Montpellier,Toulouse,1.9,0.3,2,1
Saint-Étienne,Bordeaux,1.9,0.3,3,0
Lille,Paris S-G,1.7,1.3,5,1
Nantes,Paris S-G,1.8,0.6,3,2
Dijon,Rennes,1.3,0.8,3,2
Lyon,Angers,3.0,0.8,2,1
Guingamp,Marseille,1.4,1.9,1,3
Strasbourg,Montpellier,0.4,2.5,1,3
Nice,Caen,2.6,0.9,0,1
Nîmes,Bordeaux,1.3,1.1,2,1
Nantes,Amiens,1.2,0.4,3,2
Toulouse,Lille,0.6,1.2,0,0
Reims,Saint-Étienne,0.6,1.8,0,2
Paris S-G,Monaco,2.4,1.0,3,1
Bordeaux,Lyon,1.0,2.4,2,3
Angers,Reims,0.7,0.3,1,1
Caen,Dijon,1.7,0.9,1,0
Nice,Guingamp,2.1,0.8,3,0
Lille,Nîmes,2.4,0.9,5,0
Amiens,Strasbourg,0.5,0.3,0,0
Saint-Étienne,Toulouse,1.6,1.8,2,0
Marseille,Nantes,1.5,1.1,1,2
Montpellier,Paris S-G,2.1,1.2,3,2
Rennes,Monaco,1.8,1.1,2,2
Strasbourg,Marseille,1.1,1.6,1,1
Paris S-G,Nice,2.5,1.1,1,1
Bordeaux,Angers,0.6,0.8,0,1
Reims,Nîmes,0.4,2.0,0,3
Guingamp,Caen,0.5,0.0,0,0
Montpellier,Amiens,0.9,0.2,1,1
Nantes,Dijon,1.9,0.8,3,0
Toulouse,Rennes,2.3,1.9,2,2
Monaco,Saint-Étienne,2.2,0.7,2,3
Lyon,Lille,1.7,1.8,2,2
Saint-Étienne,Montpellier,1.2,1.5,0,1
Angers,Paris S-G,2.4,0.8,1,2
Amiens,Toulouse,0.9,0.4,0,0
Caen,Reims,1.0,1.7,3,2
Nice,Nantes,1.8,2.1,1,1
Dijon,Strasbourg,1.4,2.0,2,1
Nîmes,Monaco,1.9,0.9,1,0
Rennes,Guingamp,1.1,2.7,1,1
Lille,Bordeaux,1.1,0.6,1,0
Marseille,Lyon,1.6,1.6,0,3
Monaco,Amiens,1.1,0.7,2,0
Strasbourg,Rennes,1.9,0.8,0,2
Toulouse,Marseille,2.0,2.1,2,5
Saint-Étienne,Nice,2.0,1.4,3,0
Bordeaux,Reims,0.8,1.5,0,1
Lyon,Caen,3.1,0.3,4,0
Lille,Angers,2.8,1.4,5,0
Paris S-G,Dijon,3.6,0.8,4,0
Montpellier,Nantes,0.7,1.0,1,1
Guingamp,Nîmes,2.9,1.8,2,2
Nantes,Strasbourg,1.7,0.9,0,1
Nîmes,Lyon,1.5,1.4,2,3
Marseille,Montpellier,1.3,1.0,1,0
Dijon,Toulouse,1.1,0.4,2,1
Reims,Paris S-G,0.9,1.9,3,1
Angers,Saint-Étienne,2.1,1.6,1,1
Amiens,Guingamp,2.4,1.1,2,1
Nice,Monaco,1.4,1.6,2,0
Rennes,Lille,2.2,1.0,3,1
Caen,Bordeaux,1.1,1.8,0,1
